 ISO3, Country, Year, Statistics,Temperature - (Celsius),
 ALB, Albania,1936, Apr,10.9546,
 ALB, Albania,1936, May,14.319,
 ALB, Albania,1936, Jun,17.2252,
 ALB, Albania,1936, Jul,22.0414,
 ALB, Albania,1936, Aug,20.5009,
 ALB, Albania,1936, Sep,16.6471,
 ALB, Albania,1936, Oct,10.9902,
 ALB, Albania,1936, Nov,7.40225,
 ALB, Albania,1936, Dec,2.69377,
 ALB, Albania,1937, Jan,0.76905,
 ALB, Albania,1937, Feb,4.51765,
 ALB, Albania,1937, Mar,8.52615,
 ALB, Albania,1937, Apr,9.65319,
 ALB, Albania,1937, May,15.5567,
 ALB, Albania,1937, Jun,19.4051,
 ALB, Albania,1937, Jul,21.5069,
 ALB, Albania,1937, Aug,20.8395,
 ALB, Albania,1937, Sep,18.3807,
 ALB, Albania,1937, Oct,12.7942,
 ALB, Albania,1937, Nov,8.13129,
 ALB, Albania,1937, Dec,4.31315,
 ALB, Albania,1938, Jan,1.63276,
 ALB, Albania,1938, Feb,2.41001,
 ALB, Albania,1938, Mar,6.73625,
 ALB, Albania,1938, Apr,7.89549,
 ALB, Albania,1938, May,13.6621,
 ALB, Albania,1938, Jun,19.6574,
 ALB, Albania,1938, Jul,22.2939,
 ALB, Albania,1938, Aug,21.4806,
 ALB, Albania,1938, Sep,16.8074,
 ALB, Albania,1938, Oct,13.4447,
 ALB, Albania,1938, Nov,8.42954,
 ALB, Albania,1938, Dec,3.38394,
 ALB, Albania,1939, Jan,4.70371,
 ALB, Albania,1939, Feb,4.03547,
 ALB, Albania,1939, Mar,4.12163,
 ALB, Albania,1939, Apr,11.4185,
 ALB, Albania,1939, May,13.6526,
 ALB, Albania,1939, Jun,17.4165,
 ALB, Albania,1939, Jul,22.0506,
 ALB, Albania,1939, Aug,21.1068,
 ALB, Albania,1939, Sep,17.1564,
 ALB, Albania,1939, Oct,13.2523,
 ALB, Albania,1939, Nov,7.68495,
 ALB, Albania,1939, Dec,3.29497,
 ALB, Albania,1940, Jan,-1.9307,
 ALB, Albania,1940, Feb,1.29054,
 ALB, Albania,1940, Mar,4.47798,
 ALB, Albania,1940, Apr,9.46316,
 ALB, Albania,1940, May,12.9913,
 ALB, Albania,1940, Jun,17.0445,
 ALB, Albania,1940, Jul,20.6263,
 ALB, Albania,1940, Aug,18.7397,
 ALB, Albania,1940, Sep,17.0582,
 ALB, Albania,1940, Oct,13.1666,
 ALB, Albania,1940, Nov,9.51444,
 ALB, Albania,1940, Dec,-0.0207,
 ALB, Albania,1941, Jan,2.47174,
 ALB, Albania,1941, Feb,5.35315,
 ALB, Albania,1941, Mar,6.65203,
 ALB, Albania,1941, Apr,10.3115,
 ALB, Albania,1941, May,13.3647,
 ALB, Albania,1941, Jun,17.9028,
 ALB, Albania,1941, Jul,20.871,
 ALB, Albania,1941, Aug,20.7094,
 ALB, Albania,1941, Sep,14.5805,
 ALB, Albania,1941, Oct,11.1852,
 ALB, Albania,1941, Nov,5.09492,
 ALB, Albania,1941, Dec,1.88817,
 ALB, Albania,1942, Jan,-3.1547,
 ALB, Albania,1942, Feb,1.01609,
 ALB, Albania,1942, Mar,4.49763,
 ALB, Albania,1942, Apr,9.38094,
 ALB, Albania,1942, May,15.5985,
 ALB, Albania,1942, Jun,19.2164,
 ALB, Albania,1942, Jul,21.1406,
 ALB, Albania,1942, Aug,21.2223,
 ALB, Albania,1942, Sep,19.8408,
 ALB, Albania,1942, Oct,13.4854,
 ALB, Albania,1942, Nov,6.57844,
 ALB, Albania,1942, Dec,4.12843,
 ALB, Albania,1943, Jan,-0.3781,
 ALB, Albania,1943, Feb,3.86407,
 ALB, Albania,1943, Mar,5.38617,
 ALB, Albania,1943, Apr,10.5355,
 ALB, Albania,1943, May,13.7057,
 ALB, Albania,1943, Jun,17.3778,
 ALB, Albania,1943, Jul,21.2254,
 ALB, Albania,1943, Aug,22.7761,
 ALB, Albania,1943, Sep,19.4599,
 ALB, Albania,1943, Oct,14.0662,
 ALB, Albania,1943, Nov,8.6306,
 ALB, Albania,1943, Dec,4.62089,
 ALB, Albania,1944, Jan,2.05175,
 ALB, Albania,1944, Feb,1.97589,
 ALB, Albania,1944, Mar,4.06558,
 ALB, Albania,1944, Apr,10.4619,
 ALB, Albania,1944, May,13.826,
 ALB, Albania,1944, Jun,18.8144,
 ALB, Albania,1944, Jul,20.6974,
 ALB, Albania,1944, Aug,21.3698,
 ALB, Albania,1944, Sep,17.7696,
 ALB, Albania,1944, Oct,13.4865,
 ALB, Albania,1944, Nov,7.70893,
 ALB, Albania,1944, Dec,2.83799,
 ALB, Albania,1945, Jan,-0.2623,
 ALB, Albania,1945, Feb,2.52297,
 ALB, Albania,1945, Mar,5.92658,
 ALB, Albania,1945, Apr,10.3827,
 ALB, Albania,1945, May,17.56,
 ALB, Albania,1945, Jun,19.8737,
 ALB, Albania,1945, Jul,22.4583,
 ALB, Albania,1945, Aug,22.1259,
 ALB, Albania,1945, Sep,17.8652,
 ALB, Albania,1945, Oct,11.4859,
 ALB, Albania,1945, Nov,7.06325,
 ALB, Albania,1945, Dec,3.4563,
 ALB, Albania,1946, Jan,0.51994,
 ALB, Albania,1946, Feb,3.11675,
 ALB, Albania,1946, Mar,6.29066,
 ALB, Albania,1946, Apr,11.3652,
 ALB, Albania,1946, May,15.814,
 ALB, Albania,1946, Jun,19.881,
 ALB, Albania,1946, Jul,22.9479,
 ALB, Albania,1946, Aug,23.4906,
 ALB, Albania,1946, Sep,20.2556,
 ALB, Albania,1946, Oct,10.7132,
 ALB, Albania,1946, Nov,8.89971,
 ALB, Albania,1946, Dec,2.08074,
 ALB, Albania,1947, Jan,-2.2958,
 ALB, Albania,1947, Feb,3.31766,
 ALB, Albania,1947, Mar,9.24005,
 ALB, Albania,1947, Apr,12.4158,
 ALB, Albania,1947, May,15.7653,
 ALB, Albania,1947, Jun,19.5581,
 ALB, Albania,1947, Jul,22.2783,
 ALB, Albania,1947, Aug,21.4999,
 ALB, Albania,1947, Sep,18.897,
 ALB, Albania,1947, Oct,11.5652,
 ALB, Albania,1947, Nov,8.71481,
 ALB, Albania,1947, Dec,4.51612,
 ALB, Albania,1948, Jan,6.05871,
 ALB, Albania,1948, Feb,2.28817,
 ALB, Albania,1948, Mar,5.98454,
 ALB, Albania,1948, Apr,10.7432,
 ALB, Albania,1948, May,15.3939,
 ALB, Albania,1948, Jun,17.0495,
 ALB, Albania,1948, Jul,19.6802,
 ALB, Albania,1948, Aug,21.6077,
 ALB, Albania,1948, Sep,17.5917,
 ALB, Albania,1948, Oct,13.5197,
 ALB, Albania,1948, Nov,6.66172,
 ALB, Albania,1948, Dec,0.27936,
 ALB, Albania,1949, Jan,3.12101,
 ALB, Albania,1949, Feb,2.45015,
 ALB, Albania,1949, Mar,3.29406,
 ALB, Albania,1949, Apr,10.5402,
 ALB, Albania,1949, May,15.4641,
 ALB, Albania,1949, Jun,16.9772,
 ALB, Albania,1949, Jul,20.2486,
 ALB, Albania,1949, Aug,19.6679,
 ALB, Albania,1949, Sep,17.4249,
